library_type,academy,year,season,category,subject,author,dynasty,description,file_url
课艺库,求志书院,1882,冬,词章,"1882年冬词章获奖课艺",〇经学超、朱逢甲、王光熊,清,"〇经学超等：朱逢甲、王光熊、许克勤、王廷鼎、陶忠诰、汪开 祉；特等：叶秉钧、陈绍昌、葛士浚、陶承澍、徐森、孙传恩；一等：钱润 道、潘豫谷、陶承潞、欧阳鼎、倪承瓒、毕光祖。",
课艺库,求志书院,1883,冬,词章,"1883年冬词章获奖课艺",玉庭、张联甲、韩柳文,清,"玉庭、张联甲、韩柳文、金健行、吴荣森、屈念祖、顾行。以上共计花红 银一百三十四两七钱，发上儒学转给。(1884.7.8第4035号第二版)",
课艺库,求志书院,1884,春,词章,"1884年春词章获奖课艺",○经学超、蔡维馨、朱逢甲,清,",○经学超等：蔡维馨、朱逢甲、蔡维芳、许克勤、许文蔚、王廷 鼎；特等：陶承潞、汪开祉、陶忠讷、金昌、陶忠诰、于鬯；一等：王光熊、 徐乃柚、徐树百、倪承瓒、沈树昌、金承熙、吴寿萱、金文梁、陈震、朱映 奎、张高瀛、陶承侃。",
课艺库,求志书院,1884,夏,掌故,"1884年夏掌故获奖课艺",○算、学 超等、陈维祺,清,"R     ○算学 超等：陈维祺、沈善蒸、程之骥；特等：韩恩荣。",
课艺库,求志书院,1884,夏,掌故,"1884年夏掌故获奖课艺",词章超等、张树莫、杨引传,清,"O   词章超等：张树莫、杨引传、王念君、朱逢甲、李鼎颐、钱衡 拔；特等：金庭萼、陈曾彪、宋锡福、杜史琪、王廷鼎、蔡济勤；一等：张 尚纯、杨应环、吴大文、秦锡田、秦锡申、王士骏。(1885.4.14第4308 号第三版)",
课艺库,求志书院,1884,秋,经学,"1884年秋经学获奖课艺",北  ○、史学、曹元弼,清,"北  ○史学  超等：曹元弼、丁庆慈、朱逢甲、王廷鼎、陶承潞、萧銮； 特等：陆宝经、汪开祉、王光熊；不取：孙泰折、姚启宇、朱应福、季鸿 熙、李鼎颐、梁维谦。",
课艺库,求志书院,1884,秋,经学,"1884年秋经学获奖课艺",□○掌故、范本礼、朱逢甲,清,"□○掌故超等：范本礼、朱逢甲、周宝箴、陶承潞、黄锡恭、严祥 彬；特等：王廷鼎、姚文神、萧銮；不取：汪开祉、许庆尧、王光熊、陈葆 清、倪承瓒。",
课艺库,求志书院,1884,秋,经学,"1884年秋经学获奖课艺",〇算学、沈善蒸、崔朝庆,清,"〇算学 超等：沈善蒸、崔朝庆、程之骥；特等：朱璟；一等：钱潮。 地○舆地 超等：于鬯、许克勤、徐森、沈家桂；特等：周宝箴、戴羲、 倪承瓒、王廷鼎；一等：王念君、王光熊、顾增瑞、严祥彬。",
课艺库,求志书院,1884,冬,词章,"1884年冬词章获奖课艺",①经学、蔡维馨、王廷鼎,清,"①经学 超等：蔡维馨、王廷鼎、过炎、金承熙、陶忠讷、许文蔚； 特等六名、一等六名，余不取。",
课艺库,求志书院,1885,春,经学,"1885年春经学获奖课艺",美○史学、朱逢甲、汪开祉,清,"美○史学超等：朱逢甲、汪开祉、葛士浚、萧銮、严祥彬、韩柳文； 特等：许克勤、王光熊、王廷鼎，不取一名。",
课艺库,求志书院,1885,秋,算学,"1885年秋算学获奖课艺",O 舆地、汪赞蚡、葛尚远,清,"O 舆地超等：汪赞蚡、葛尚远；特等：潘熙、倪承瓒； 一等：丁桂 琪、张昌年。",
课艺库,求志书院,1887,秋,舆地,"1887年秋舆地获奖课艺",戴辅尧、戴羲、吴佐清,清,"潞；特等：戴辅尧、戴羲、吴佐清、张子纯、季光镜、许克勤、潘彭龄、张 绶青，一等十一名。",
课艺库,求志书院,1887,冬,算学,"1887年冬算学获奖课艺",今有人募、初日用一、次日三人,清,"今有人募佣，初日用一人，次日三人，以下每日递加二人，初日一 人给银一钱，次日以下每人递加三分，共给银七两三钱五分。别得梯",
课艺库,求志书院,1887,冬,算学,"1887年冬算学获奖课艺",今有人募、初日用五、次日以下,清,"今有人募佣，初日用五人，次日以下递加二人，初日每人给银二 钱五分，次日以下每人递减三分，共给银九两四钱五分，乃命二减五 为甲，二十五为乙，则法以倍银数为负实，甲乙相乘倍之加三甲二乙 复加四为正上廉，二乙内减三甲为正下廉四负隅，开立方得日数，试 为细草。",
课艺库,求志书院,1887,冬,史学,"1887年冬史学获奖课艺",徘  ○、掌故超等、朱逢甲,清,"徘  ○掌故超等：朱逢甲、汪开祉、王廷材、姚锡光、许克勤、叶承 锡；特等：黄锡恭，不取一名。",
课艺库,求志书院,1887,冬,词章,"1887年冬词章获奖课艺",陆珩、钱衡拔、陆祖诰,清,"乾；特等：陆珩、钱衡拔、陆祖诰、陈曾彪、杨应环、戴树圭；一等六名， 不取六名。(1888.8.7第5496号第三版)",
课艺库,求志书院,1888,春,算学,"1888年春算学获奖课艺",今有人募、初日用六、次日比初,清,"今有人募工，初日用六人，次日比初日多四人，三日比次日多五  人，四日以下又比前多六七八人，以是递多一人，初日每人给银一钱， 次日一钱三分，三日一钱六分，顺是递加三分，共给银二十三两四钱  五分。别得三角立垛截积，命上面为甲，截去之底面为乙，则截积内",
课艺库,求志书院,1888,秋,经学,"1888年秋经学获奖课艺",沈祥龙、金承熙、季光镜,清,"缙；特等：沈祥龙、金承熙、季光镜、曹心怡、钱文霈、陆士奎；一等：许 克勤、达李、俞乃济、杨誉龙、许文蔚、杨宗鉴，不取三名。",
课艺库,求志书院,1888,冬,舆地,"1888年冬舆地获奖课艺",〇经学超、朱逢甲、汪开祉,清,"〇经学超等：朱逢甲、汪开祉、许克勤、胡玉缙、王廷鼎、陈凤 藻；特等：陶承澍、杨誉龙、吴寿萱、孙传凤、陶承潞、王廷爵；一等：胡 玉庚、金文梁、叶鑫、萧銮、汪惟清、王道远。",
课艺库,求志书院,1889,夏,掌故,"1889年夏掌故获奖课艺",食  ○、算学超等、崔朝庆,清,"食  ○算学超等：崔朝庆、沈善蒸、苏映魁、程之骥；特等：钱潮。",
课艺库,求志书院,1889,秋,词章,"1889年秋词章获奖课艺",好○经学、朱逢甲、汪开祉,清,"好○经学 超等：朱逢甲、汪开祉、许克勤、许文蔚、杨誉龙、汪惟 清；特等：王廷鼎、吉墉、钱汝霖、钱文霈、杨光烈、杨光昌；一等：陈庆 年、吉城、陈祺寿、朱师轼、谢崇钧、毓英；不取四名。",
课艺库,求志书院,1889,秋,掌故,"1889年秋掌故获奖课艺",面 ○、算 学、超 等,清,"面 ○ 算 学 超 等：崔朝庆、沈善蒸、支宝、程之骥、钱潮；特等：陈 范；一等：缪朝铨、胡绍曾；不取一名。",
课艺库,求志书院,1890,冬,史学,"1890年冬史学获奖课艺",①掌故超、谢崇钧、马冠群,清,"①掌故超等：谢崇钧、马冠群、汪开祉、王实永、朱逢甲、汪福 森；特等：张天爵、孙同康、张书绅、孙国桢、宗嘉谟、曾朴、孙师郑。",
