library_type,academy,year,season,category,subject,author,dynasty,description,file_url
课艺库,求志书院,1879,春,算学,"圆内容十四等边，半径为连比例一率，边为连比例二率，则一率 等于二、三率之和，加二四率之较，试读以图。",未知,清,"圆内容十四等边，半径为连比例一率，边为连比例二率，则一率 等于二、三率之和，加二四率之较，试读以图。",
课艺库,求志书院,1879,春,史学,"张翔苏州府吴县童生,夏寿华杭州府钱塘县附生,周桂松江府娄 县增生,艾承禧松江府上海县附生,方文杰松江府上海县附生,戴羲太仓州 宝山县附生,江标,寿大德太仓州宝山县举人,孙杰松江府南汇县附生,翁 天麒松",亭县廪生,清,"江府附生,侯庚吉太仓州宝山县附生,黄允升太仓州宝山县附生，以 上无花红。",
课艺库,求志书院,1879,春,舆地,"烫  ○录取词章之学  超等六名：徐诵芬给银五两、沈定年给银四两、 朱逢甲给银三两五钱、严良勋给银二两五钱、沈祥龙松江府娄县贡生，给银  一两五钱、汪曾怀太仓州副贡生，给银一两；特等六名：王有年镇江府",未知,清,"月徒  县监生、沈芸松江府娄县附生、马锡蕃苏州府吴县附生、何镛、王树丰苏州 府县生，以上均给银八钱；张桂臣绍兴府山阴县贡生，给银五钱；一等十二  名：王文玉广州府番禹县监生、刘其伟太仓州宝山县廪生、王学淹苏州府吴  县附生，以上均给银五钱；张庆同太仓州举人，以下无花红：吴佑曾镇江  府增生、周郑表杭州府仁和县贡生、钱润道、余汝淦、蔡宝玙嘉兴府桐乡县  增生、杨殿魁、许庆尧；不取十四名：张孝增、翁天麒、韩柳文、凌如海、 苏景珍、陈藩绍、郑炽昌、倪躁华、赵廷澄、钱克稣、蒋元震、潘宗福、奚  宗杰、俞元均。(1879.9.10第2285号第三版)",
课艺库,求志书院,1879,夏,词章,"大○经学超等：严良勋吴县、朱逢甲华亭、陶承侃吴县；特等：何镛 山阴、沈定年山阴、陈绍昌香山；一等：郑兴森归安、周桂娄县、黄文玉番 禺、钱润道金山、王念珣庐陵。",未知,清,"大○经学超等：严良勋吴县、朱逢甲华亭、陶承侃吴县；特等：何镛 山阴、沈定年山阴、陈绍昌香山；一等：郑兴森归安、周桂娄县、黄文玉番 禺、钱润道金山、王念珣庐陵。",
课艺库,求志书院,1879,夏,词章,"甲华亭；一等：李诒安元和、陈绍昌香山。(1879.12.3第2369号第 二版)",未知,清,"甲华亭；一等：李诒安元和、陈绍昌香山。(1879.12.3第2369号第 二版)",
课艺库,求志书院,1879,秋,算学,"K 三角面积，自顶至底作分积线，任分全积为二，命大分为全积甲 之乙，小分为全积甲之丙，有二边，求左乙、右丙，或右乙、左丙之各分 积线。",未知,清,"K 三角面积，自顶至底作分积线，任分全积为二，命大分为全积甲 之乙，小分为全积甲之丙，有二边，求左乙、右丙，或右乙、左丙之各分 积线。",
课艺库,求志书院,1879,秋,经学,"i○ 史 学  超 等：朱逢甲银五两、沈定年银四两、葛其龙己卯顺天举 人，银三两五钱、陶承潞银二两五钱、严祥彬松江府学廪生，银一两五钱、周 桂松江娄廪生，银一两；特等：陶承侃、于、朱士廉浙江海宁举人，",未知,清,"以上三 名银均八钱；徐廷栋苏州长洲增生、姚有彬松江南汇举人、何镛，以上三 名各银五钱；一等：张有恒松江府学附生、沈咸喜松江府学廪生、黄文玉， 以上三名各银五钱；韩柳文浙江萧山监生、钱润道、戴羲太仓宝山附生、 陈绍昌、徐诵芬苏州吴县廪生、唐久安浙江钱塘附生、康宜鉴松江南汇附 生、倪承瓒、蔡九龄山东历城廪生、蒋星拱松江华亭廪生、张翔松江华亭廪 生，以上十一名俱无花红。",
课艺库,求志书院,1879,秋,算学,"设有甲乙二钟，甲钟能容酒或水九两，乙钟能容酒或水七两，酒 重水轻，姑不深计，若取甲钟注酒七两，乙钟注水五两，乃以甲钟倾人 乙钟令满，复以乙钟倾入甲钟令满，此后乙倾甲、甲倾乙如是迭倾，求 各钟内酒水各几",未知,清,"何?能求得公式最善否?则姑即四倾演之；",
课艺库,求志书院,1880,春,算学,"假如以正切级数为一率，半径为二率，正割级数为三率，求得四 率为余割级数，试演二、三率相乘一率除之之法。至正切、正割之级 数式，代数及徐戴诸书具有，兹不赘述。",未知,清,"假如以正切级数为一率，半径为二率，正割级数为三率，求得四 率为余割级数，试演二、三率相乘一率除之之法。至正切、正割之级 数式，代数及徐戴诸书具有，兹不赘述。",
课艺库,求志书院,1880,夏,算学,"弦较较,弦和,弦较，任以两数相乘，所得之数，其公理皆 为大数幂内减去小数幂，试证之；",弦和和,清,"弦较较,弦和,弦较，任以两数相乘，所得之数，其公理皆 为大数幂内减去小数幂，试证之；",
课艺库,求志书院,1880,夏,史学,"M    ○ 掌故  超等：朱逢甲、钱润道、李钟珏、严祥彬、陈绍昌、曹炜； 特等：丁桂琪、姚行辉、许庆尧、倪承瓒。",未知,清,"M    ○ 掌故  超等：朱逢甲、钱润道、李钟珏、严祥彬、陈绍昌、曹炜； 特等：丁桂琪、姚行辉、许庆尧、倪承瓒。",
课艺库,求志书院,1880,夏,史学,"员◎舆地超等：沈家桂、朱逢甲；特等：钱润道、戴羲、严祥彬； 一 等：陆康宜。",未知,清,"员◎舆地超等：沈家桂、朱逢甲；特等：钱润道、戴羲、严祥彬； 一 等：陆康宜。",
课艺库,求志书院,1880,冬,词章,"冬舂米以上二题五古、七古均可；风栗、风菱以上二题各七律一首。(1881.",未知,清,"冬舂米以上二题五古、七古均可；风栗、风菱以上二题各七律一首。(1881.",
课艺库,求志书院,1880,春,史学,"唐久安,毕光祖,顾尧年,王保如,韩柳文,李诒福, 周宝箴,戴羲,曹炜,康宜鉴,王保奭,陶元石,黄起传,萧世锜,廖翰  华,黄亨大,王鼎亨。",等十八名：胡文渊,清,"唐久安,毕光祖,顾尧年,王保如,韩柳文,李诒福, 周宝箴,戴羲,曹炜,康宜鉴,王保奭,陶元石,黄起传,萧世锜,廖翰  华,黄亨大,王鼎亨。",
