library_type,academy,year,season,category,subject,author,dynasty
课题库,求志书院,四十年,夏,史学,"○词章之学五题：夏月坐版床随树阴讽诵赋以折节读书以文华显 为韵；效《西昆酬唱集》中体各七律一首始皇、汉武、明皇、宋玉、公子、旧 将；读《后汉书 ·逸民传》;小乐府八首虎即臣、游五岳、掷桥叹、客星见、要 离冢、不二价、南山南、鹿门山；拟新进士谢赐表里一端表；咏唐人新进士 故事各七绝一首，不拘首数。(1877.7.14第1601号第二版)",未知,清
课题库,求志书院,四十年,秋,史学,"上 海 求 志 书 院 丁 丑 秋 季 题 目",未知,清
课题库,求志书院,四十年,秋,史学,"○经学十题：乌兽稚选解；雨螽于宋解；淮夷蛮貊解；鱼须文竹 解；韩诗以《鸡鸣》为谗诗说；齐诗先《采苹》而后《草虫》说；天子七庙 郑王异义考；尧舜禹汤为名为谥考；贲卦之贲古音考；婚卦之娠古 字考。",未知,清
课题库,求志书院,十九年,秋,史学,"○掌故之学八题：河堤坦坡石不如砖议；放淤议；引河利弊论；闸 坝优劣论；涵洞说；陂说；问疏浚河道，何法最良?问治永定河与治大 河同异?",未知,清
课题库,求志书院,十九年,秋,算学,"比例之法，边与幂不可互求，所可互求则一为超率比例，如句股 容方句股和幂与弦幂比，或弦幂与余句余股和幂比，均方句股和与余 句余股和比； 一为寄母之法，如抛物线截径与正弦幂比，若另一截径 与另一正弦幂比，试详其理；",未知,清
课题库,求志书院,十九年,秋,算学,"方求斜以方边自乘为长方积，倍方边为长阔较，求得长为方斜 和，求得阔为方斜差，以代数或图解明之；",未知,清
课题库,求志书院,十九年,秋,算学,"今有数，不知几何，但云置原数为平三角之高，求得面积，倍之为 长方积，复取其长阔和为立三角垛之高，求得体积，六之为立方积，则 其长阔高三事和得二十四，试依垛积之理，返求其原数；",未知,清
课题库,求志书院,十九年,秋,算学,"弦和和乘弦较较，又弦和较乘弦较和，两数相减，四约之开平方， 得句，作图明之；",未知,清
课题库,求志书院,十九年,秋,算学,"取弦和和自乘数四之一，弦和较自乘数四之三，相并，复以弦乘 弦和较加之，开平方得句股和，以条段之理解之；",未知,清
课题库,求志书院,十九年,秋,算学,"平三角有底，有两腰，求面积法。以两腰幂相减自之，以底之三  乘方加之，于上副以两腰幂，相加倍之，底幂乘之，复以上减之十六， 约之开平方，得面积，试证之；",未知,清
课题库,求志书院,十九年,秋,算学,"高股虚句相乘，或明股小差句相乘，任一相乘积与半径自乘比， 若全径取通句比，试明比例之理；",未知,清
课题库,求志书院,十九年,秋,算学,"边股与底句比，若明句与重股比，又若明股弦和与半径比，及半 径与重句弦和比，又若大差股弦和与通句比，及通股与小差句弦和 比，要皆若大差诸事与小差诸事比，问此比例之公理若何?",未知,清
课题库,求志书院,十九年,秋,算学,"半径为连比例一率，三十六度通弦为连比例二率，二率自乘，再 乘一率幂除之得四率，为三十六度之正割半径差，若置二率倍之，则 为三十六度之正割，以理分中末线解之；",未知,清
课题库,求志书院,十九年,秋,算学,"设有甲乙两数，甲幂内减乙幂，开平方，复加甲为法，乙幂为实 法，除实得数以加法，得倍甲，又甲幂加乙幂开平方，复加甲为法，乙 幂为实法，除实得数以减法亦得倍甲，以代数演之。",未知,清
课题库,求志书院,十九年,春,算学,"○舆地之学十题：经义有决河深川说；瓯脱解；春秋齐晋楚吴迭 为雄长论；巴请与邓为好论；秦于寿春置九江郡，命名之义何在?应 仲远喜举山水以释地名，果尽可信欤?重订洪北江江苏境众水归合 表；南田考；环游地球路程考；请仿埃及新开河治胶莱新河以便海 运议。",未知,清
课题库,求志书院,十九年,秋,算学,"○词章之学十二题：愁赋、喜赋两题均效江文通《恨赋》体，不限韵；秋  暑用韩昌黎《纳凉联句》韵；秋禊曲、秋社曲两题不拘体韵；七夕摩喉罗饭、 中元盂兰饼饺、中玩月羹、重九米锦糕以上四题，诗词俱可出处，并见  《清异录》;南极老人颂；月中仙人吴刚赞；牡丹生日祝词。",未知,清
课题库,求志书院,十九年,秋,算学,"上 海 求 志 书 院 丁 丑 秋 季 课 案",未知,清
课题库,求志书院,十九年,秋,算学,"◎经学超等：林颐山浙江、郑兴森浙江、朱逢甲华亭、胡保泰浙 江、何松浙江、张大昌浙江；特等：王嘉桢浙江、陶承潞吴县、陶忠铭长洲、 钱国祥苏州、钱荣高元和、张汝贤华亭；一等：王钊镇洋、闵孝南汇、于尔 大南汇、严宝枝长洲、钱润道金山、韩柳文浙江。",未知,清
课题库,求志书院,十九年,夏,算学,"○史学 超等：何松浙江、朱作霖松江、朱士廉浙江、严祥彬松江、 钱润道金山、冯崧甫浙江、朱逢甲华亭；特等：沈咸喜松江、刘至顺上海、 丁桂琪吴江、邵锡祉南汇、赵引修浙江、夏之持浙江、侯庚吉宝山；一等： 张汝贤华亭、艾承禧上海、周桂娄县、汤馥藻嘉定、吴亮采浙江、顾忠宣南  汇、倪绳中松江、于鬯南汇。",未知,清
课题库,求志书院,十九年,夏,算学,"○掌故超等：沈祥凤娄县、严祥彬松江、杨象济浙江、许景衡浙  江、朱逢甲华亭；特等：刘至顺上海、钱润道金山、丁桂琪吴江、沈咸喜松  江；一等：倪绳中松江、黄致尧宝山、孙家鼎上海、郁震培上海、孙杰南汇、 孙隽松江、蒋星拱华亭。",未知,清
课题库,求志书院,十九年,夏,算学,"○算学 超等：崔有洲安徽、沈善蒸浙江、张景麒浙江；特等：廖嘉 绶湖南、丁绍文湖南、黄嗣洪安徽、张斌翼浙江；一等：李景兰浙江、梅绳",未知,清
课题库,求志书院,十九年,夏,算学,"祖安徽、马应阶安徽、程世璋吴县、宋庆云华亭、方德华青浦。",未知,清
课题库,求志书院,十九年,夏,算学,"○舆地 超等：何松浙江、赵引修浙江、郑兴链浙江；特等；朱逢甲 华亭、莫纯佑华亭；一等：薛秉彝上海、黄致尧嘉定。",未知,清
课题库,求志书院,十九年,夏,算学,"○ 词 章  超等：杨象济浙江、徐琪浙江、张大昌浙江、薛受采如皋、 徐诵芬吴县、朱逢甲华亭；特等：沈祥龙娄县、凌和钧浙江、陈曾彪宝山、 高念曾浙江、唐步蟾浙江、蔡济勤浙江；一等：唐步云浙江、王保奭南汇、 朱士俊浙江、徐德辉浙江、徐泰来元和、蒋文蔚长洲。(1878.2.12第  1777号第三版)",未知,清
课题库,求志书院,十九年,冬,算学,"上 海 求 志 书 院 丁 丑 冬 季 题 目",未知,清
